assessment_id,A_Face_Sentiment_Score_AssessmentID,total_Facial_Emotion_Score_assessmentID,Storyline_angry_Sum_assessmentID,Storyline_disgust_Sum_assessmentID,Storyline_fear_Sum_assessmentID,Storyline_happy_Sum_assessmentID,Storyline_sad_Sum_assessmentID,Storyline_surprise_Sum_assessmentID,Storyline_Neutral_Sum_assessmentID,Proportion_Happy_assessmentID,Proportion_Angry_assessmentID,Proportion_Disgust_assessmentID,Proportion_Fear_assessmentID,Proportion_Sad_assessmentID,Proportion_Surprise_assessmentID,Proportion_Neutral_assessmentID
0df79265-944e-43f9-a0bd-39d8e5757a6d,0.9999194417548332,398300.00257457717,13546.269003394227,58.846692513996466,29570.832957881015,128246.28809647648,63073.60510976716,18376.96989787968,145427.1908166646,0.32198415080969983,0.03401021570633267,0.00014774464507561253,0.0742426130221885,0.15835702912896,0.046138513128527535,0.36511973355921584
23222d65-20dc-4247-8495-8b98f52c2c6f,0.9997255214989297,512000.00250410405,67674.11234957741,2808.617561705896,82243.48999211143,37632.42756346838,103084.4513471152,20903.637580482133,197653.26610964365,0.07350083472541923,0.13217600003631827,0.005485581148377793,0.16063181560522002,0.2013368180526306,0.04082741694969928,0.38604153348233494
2d03cee3-2af3-4b99-b97f-9280f81ae964,0.9997992951416428,322700.0023311507,28016.029119423914,878.9275261296058,25468.535343746054,51468.88138406532,82186.80590200267,4009.968139430546,130670.85491635257,0.1594945181662831,0.08681756714297825,0.002723667554323912,0.07892325739003424,0.25468486305638016,0.012426303410173412,0.4049298232798269
4143b281-9e12-4f3c-9da9-6ee7d3f8c060,0.9987478877165574,105700.00061186826,3866.552918147592,0.6700156011838907,7764.627124944565,8241.426434426357,22616.89724616361,26.80424107119575,63183.02263151376,0.07796997527643335,0.036580443668544745,6.338841980183108e-06,0.07345910198672916,0.21397253656802845,0.0002535878989217915,0.5977580157593624
4d86c48f-8a2e-4366-84dc-bf9a2e58223f,0.9998492256380984,515900.0024273744,3603.948753578967,205.4499303844428,217831.9424647181,68516.75779626926,110982.77606259439,14004.120073075597,100755.00734675371,0.1328101521106596,0.006985750604035539,0.00039823595545217103,0.4222367540992274,0.21512458914597105,0.027145028120148188,0.19529948996450616
5878ccf2-052a-400b-8682-ed7b9db29f50,0.9998144814910017,309900.00225354236,8811.961926948297,1.9079110297244564,1438.8115672240938,55682.91547342062,2822.4312461545355,4684.392565467101,236457.581563298,0.1796802680493821,0.02843485596279169,6.156537643918806e-06,0.00464282528803256,0.00910755477776791,0.015115819720564572,0.7630125196638172
5e703137-4029-4f52-b5de-b200751e87cf,0.9978528701443348,30100.000218165063,3260.288926492465,641.8343828839056,4036.4290082067832,4801.732791373607,6684.580341156931,618.8230284697781,10056.311739581595,0.15952600520168125,0.10831524594225457,0.021323401270162273,0.13410063052992394,0.22207907949192807,0.020558904451313736,0.33409673311273624
5e7c6635-e024-4268-83ad-590016cd1046,0.9989197474996062,238100.00104782815,73277.81240167253,174.50414219203174,31977.309143321017,9554.217134597746,66884.72494311212,1625.7405037813185,54605.692779151366,0.04012690925053188,0.3077606555194971,0.000732902735926399,0.13430201177066606,0.2809102253203128,0.00682797352636193,0.22933932187670378
664554ac-ff5a-4d3c-af27-c6c09ee9f816,0.9980067126328663,63200.00057485845,2112.7066807993065,85.62573520646085,7401.311029410886,5173.129336807933,5753.873151177301,2501.2961617598885,40172.05847969668,0.08185331154673837,0.03342890287313954,0.0013548375700572946,0.11710935066597446,0.09104229586773525,0.03957747055393109,0.6356338309224241
6b6ee892-6d2e-45c2-a44f-9cd50ae436a8,0.999721218437117,341600.0021657926,33943.16264623582,63.08071397700461,29091.27610368705,37051.40233325834,85210.24504169663,11148.955694238912,145091.8796326989,0.10846429185698822,0.09936522959903787,0.00018466251047149856,0.08516181475188589,0.24944450966467083,0.03263745791438216,0.42474203370256364
